GAP,PC_PGDP,IRS
-2.100000,2.566845,12.471670
-1.000000,1.147028,12.063830
0.100000,0.927835,10.008170
-0.100000,0.204290,8.515300
-0.100000,0.509684,7.120030
-0.600000,0.405680,7.250900
-1.000000,0.808081,6.850270
-0.600000,0.801603,6.609230
-0.800000,-0.099404,7.172230
-1.400000,0.398010,7.118300
-0.900000,-0.198216,6.841230
-1.300000,0.794439,6.635670
-1.400000,0.098522,6.190930
-1.100000,0.000000,6.458770
-1.300000,0.295276,6.283670
-1.200000,0.588813,6.181770
-0.300000,0.292683,5.844300
-0.600000,0.389105,6.152770
-1.200000,0.678295,6.221100
-1.000000,0.384986,6.248730
-0.100000,0.191755,6.068570
0.300000,-0.191388,6.254030
0.800000,0.287632,7.281830
-0.400000,0.956023,6.053000
-1.100000,0.568182,4.435730
-1.600000,0.376648,4.562530
-1.500000,-0.375235,4.120730
-2.400000,-0.188324,3.998030
-1.700000,-0.283019,3.281770
-1.100000,0.378430,3.248930
0.400000,-0.188501,3.524970
0.900000,0.566572,3.488570
0.300000,-0.375587,3.332370
1.000000,0.565504,3.778130
1.100000,0.281162,3.888570
2.000000,0.467290,3.909160
-0.100000,1.023256,4.360840
0.300000,0.644567,5.183260
2.200000,0.548948,6.035370
0.500000,0.636943,6.516260
2.200000,0.632911,7.100170
3.200000,0.269542,7.441210
2.200000,1.254480,7.909520
2.500000,0.619469,8.080540
2.600000,0.791557,8.031670
1.800000,0.523560,7.260740
1.900000,0.868056,6.454880
1.400000,0.000000,5.543340
0.800000,0.860585,4.680300
0.700000,-0.170648,4.201530
-0.500000,0.085470,3.905450
-0.400000,0.341588,3.389970
-1.700000,-0.255319,3.134180
-2.600000,0.341297,3.020260
-2.700000,0.255102,2.418150
-2.000000,-0.169635,2.195600
-2.900000,0.424809,2.046270
-2.200000,-0.423012,2.069860
-2.900000,0.169924,2.202980
-2.200000,-0.508906,2.154710
-1.600000,-0.170503,1.320100
-0.800000,0.085397,0.746670
-0.900000,0.085324,0.403330
-0.400000,-0.511509,0.403330
0.400000,0.085690,0.413330
0.100000,-0.085616,0.406670
1.000000,-0.171380,0.423330
1.000000,-0.085837,0.436670
0.100000,1.030928,0.436670
0.000000,-0.170068,0.436670
-0.200000,0.170358,0.423330
-1.600000,-0.085034,0.433330
-2.200000,-0.170213,0.416670
-2.200000,-0.341006,0.363330
-1.700000,0.171086,0.216670
-3.200000,-0.597780,0.120000
