,GDPGAP,PGDP11@,CMBEMTU
1980:1,-0.5,93.5,9.17557
1980:2,-2.1,95.9,12.47167
1980:3,-1,97,12.06383
1980:4,0.1,97.9,10.00817
1981:1,-0.1,98.1,8.5153
1981:2,-0.1,98.6,7.12003
1981:3,-0.6,99,7.2509
1981:4,-1,99.8,6.85027
1982:1,-0.6,100.6,6.60923
1982:2,-0.8,100.5,7.17223
1982:3,-1.4,100.9,7.1183
1982:4,-0.9,100.7,6.84123
1983:1,-1.3,101.5,6.63567
1983:2,-1.4,101.6,6.19093
1983:3,-1.1,101.6,6.45877
1983:4,-1.3,101.9,6.28367
1984:1,-1.2,102.5,6.18177
1984:2,-0.3,102.8,5.8443
1984:3,-0.6,103.2,6.15277
1984:4,-1.2,103.9,6.2211
1985:1,-1,104.3,6.24873
1985:2,-0.1,104.5,6.06857
1985:3,0.3,104.3,6.25403
1985:4,0.8,104.6,7.28183
1986:1,-0.4,105.6,6.053
1986:2,-1.1,106.2,4.43573
1986:3,-1.6,106.6,4.56253
1986:4,-1.5,106.2,4.12073
1987:1,-2.4,106,3.99803
1987:2,-1.7,105.7,3.28177
1987:3,-1.1,106.1,3.24893
1987:4,0.4,105.9,3.52497
1988:1,0.9,106.5,3.48857
1988:2,0.3,106.1,3.33237
1988:3,1,106.7,3.77813
1988:4,1.1,107,3.88857
1989:1,2,107.5,3.90916
1989:2,-0.1,108.6,4.36084
1989:3,0.3,109.3,5.18326
1989:4,2.2,109.9,6.03537
1990:1,0.5,110.6,6.51626
1990:2,2.2,111.3,7.10017
1990:3,3.2,111.6,7.44121
1990:4,2.2,113,7.90952
1991:1,2.5,113.7,8.08054
1991:2,2.6,114.6,8.03167
1991:3,1.8,115.2,7.26074
1991:4,1.9,116.2,6.45488
1992:1,1.4,116.2,5.54334
1992:2,0.8,117.2,4.6803
1992:3,0.7,117,4.20153
1992:4,-0.5,117.1,3.90545
1993:1,-0.4,117.5,3.38997
1993:2,-1.7,117.2,3.13418
1993:3,-2.6,117.6,3.02026
1993:4,-2.7,117.9,2.41815
1994:1,-2,117.7,2.1956
1994:2,-2.9,118.2,2.04627
1994:3,-2.2,117.7,2.06986
1994:4,-2.9,117.9,2.20298
1995:1,-2.2,117.3,2.15471
1995:2,-1.6,117.1,1.3201
1995:3,-0.8,117.2,0.74667
1995:4,-0.9,117.3,0.40333
1996:1,-0.4,116.7,0.40333
1996:2,0.4,116.8,0.41333
1996:3,0.1,116.7,0.40667
1996:4,1,116.5,0.42333
1997:1,1,116.4,0.43667
1997:2,0.1,117.6,0.43667
1997:3,0,117.4,0.43667
1997:4,-0.2,117.6,0.42333
1998:1,-1.6,117.5,0.43333
1998:2,-2.2,117.3,0.41667
1998:3,-2.2,116.9,0.36333
1998:4,-1.7,117.1,0.21667
1999:1,-3.2,116.4,0.12
